id,trans_date,master_code,master_name,detail_code,detail_name,market_code,market_name,u_price,m_price,l_price,avg_price,qty
e22cfb58-130e-4c46-a5bb-137ab1b0dbcd,2016-01-28 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,88,61,30,60,7262
e4f904d1-368b-412b-af51-19aecf695564,2016-02-20 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,69,41,20,42,12976
e871c89d-a0a8-4361-8961-19c3f9ca9cca,2016-03-12 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,76,56,35,56,5646
e9d1ec79-18a8-4a0f-8b0a-2569f0381d2f,2016-03-05 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,45,31,17,31,10668
eae70371-d3e5-4806-943f-e2b617d472fc,2016-01-21 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,57,36,17,36,10258
eca31276-8a3c-4383-a969-fdadf68f3daa,2016-02-18 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,57,32,15,34,13254
f1ad0d9d-5a8a-4f2f-aa2c-d9503d7f92b7,2016-02-03 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,100,49,13,52,8488
f4010f94-f06d-4de5-88ae-1c35902b776e,2016-03-03 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,45,29,14,29,12488
f417f424-4d8a-49a6-bd93-25880e3d3306,2016-01-01 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,36,19,7,20,11193
fa711d37-7004-4d43-a229-7772fbe236da,2016-02-26 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,39,21,8,22,17734
